Course	Room	Teacher	Time	Students
202	SHA410	166	5	1061 199 524 523 39 335 236 26 403 87 587 624 174 973 654 188 12 867 885 326 779 70 662 543 540 381 258 252 602 631 633 901 1129 1076 678 1092 1121 1171 534 421 423 609 470
15	HLS109	4	6	716 278 1017 1025 6 96 26 88 80 81 85 1170 584 454 457 175 977 1080 182 652 653 11 16 19 752 598 990 765 413 499 574 730 891 1116 766 767 1092 538 823 1165 568 750 1023 1037 1161 44 638 479
632	CHSAUD	119	4	342 738 520 1025 39 38 34 1057 1058 992 613 1139 139 403 1028 585 453 455 174 19 669 68 413 776 318 836 368 364 386 939 500 467 461 162 210 957 678 679 1092 1031 110 820 1039 750 229 1026 5 481
333	IRADEAREID	124	3	293 196 444 106 439 235 1007 491 589 519 620 977 1032 208 1143 692 698 834 1174 575 1172 636 1109 600 1033 283 671 673 261 50 985 115 45
313	IRADEAREID	178	3	1162 813 296 591 527 443 35 642 851 1066 554 233 689 927 1028 829 377 7 584 585 583 1132 588 926 1008 626 624 451 181 11 13 16 753 204 206 1042 1010 776 3 380 255 732 734 468 467 463 9 1116 214 288 4 285 536 531 981 226 1001 1026 1022 158 398 47 43 1114 1173 489 481
709	MARSHAUD	261	1	1175 1183 1162 1103 196 1017 106 38 905 1120 236 22 1069 1060 1170 170 180 1125 752 324 78 411 364 66 250 960 1104 766 957 777 895 750 728 5
322	MARSHAUD	241	1	340 293 444 332 742 551 146 687 491 395 248 977 652 764 883 779 693 923 837 362 734 500 460 164 968 1090 600 893 673 261 531 988 918 305 1166 757 1160 46 45
737	MARSHAUD		1	593 100 96 927 585 926 974 18 830 637 167 1091 879 1152 1070 1083 825 826
651	MARSHAUD	43	1	343 710 298 299 597 195 193 445 642 339 99 746 555 230 613 689 137 24 404 402 932 370 374 393 392 80 583 580 177 1123 651 884 205 72 804 125 921 1134 388 259 509 507 877 871 284 677 263 262 260 530 538 114 110 119 424 309 821 222 1027 721 152 1111 489 484 471
359	MARSHAUD	67	1	1145 713 296 590 199 738 527 520 1025 441 35 34 1156 745 851 1081 6 1066 740 747 554 233 1058 1 614 912 622 495 1028 700 618 1132 588 625 454 656 975 978 188 11 17 888 759 206 68 1010 413 499 1177 861 386 387 252 251 939 731 502 467 461 1157 647 1116 649 1153 357 801 215 4 280 285 678 1093 987 989 981 771 1165 229 226 225 1020 1184 608 1114 481
